REGION,LEVEL,STATE,TYPE,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
NORTH CENTER,ELEMENTARY,AGUASCALIENTES,PUBLIC,145740,144735,143571,142512,141740,141221,141712,142523
NORTH CENTER,ELEMENTARY,AGUASCALIENTES,PRIVATE,14516,14715,14746,15282,15837,16146,17120,17596
NORTH CENTER,JR HIGH,AGUASCALIENTES,PUBLIC,67155,68699,69866,69111,68248,67568,66148,66356
NORTH CENTER,JR HIGH,AGUASCALIENTES,PRIVATE,5266,5557,5828,6016,6225,6314,6969,7188
NORTH CENTER,HIGH SCHOOL,AGUASCALIENTES,PUBLIC,36858,37863,40941,43954,45753,47220,46364,47163
NORTH CENTER,HIGH SCHOOL,AGUASCALIENTES,PRIVATE,10798,14071,13627,13766,12864,12170,12596,11708
NORTH CENTER,UNIVERSITY,AGUASCALIENTES,PUBLIC,27063,28694,30752,31948,34081,36310,39381,39594
NORTH CENTER,UNIVERSITY,AGUASCALIENTES,PRIVATE,10157,9827,9622,11822,13138,14071,14795,15238
NORTH,ELEMENTARY,BAJA CALIFORNIA,PUBLIC,364248,350637,349045,344440,344105,343907,340116,337952
NORTH,ELEMENTARY,BAJA CALIFORNIA,PRIVATE,38772,38033,38675,40947,44231,45871,49344,52270
NORTH,JR HIGH,BAJA CALIFORNIA,PUBLIC,166798,179654,182021,178478,166582,164554,162696,163376
NORTH,JR HIGH,BAJA CALIFORNIA,PRIVATE,14597,16478,17286,18226,17843,17975,19560,21131
NORTH,HIGH SCHOOL,BAJA CALIFORNIA,PUBLIC,106224,106390,111852,117845,117143,112304,114566,109282
NORTH,HIGH SCHOOL,BAJA CALIFORNIA,PRIVATE,26260,29092,29157,31682,43529,48924,45518,41079
NORTH,UNIVERSITY,BAJA CALIFORNIA,PUBLIC,71550,74322,77728,82332,84504,86054,90832,93030
NORTH,UNIVERSITY,BAJA CALIFORNIA,PRIVATE,18844,18594,19320,23072,23838,24603,31934,37496
NORTH CENTER,ELEMENTARY,BAJA CALIFORNIA SUR,PUBLIC,74982,73718,73594,73582,73980,74486,75399,76919
NORTH CENTER,ELEMENTARY,BAJA CALIFORNIA SUR,PRIVATE,6487,6418,6730,7293,7726,8054,8631,8853
NORTH CENTER,JR HIGH,BAJA CALIFORNIA SUR,PUBLIC,32008,34736,36150,36003,35073,34754,34989,76819
NORTH CENTER,JR HIGH,BAJA CALIFORNIA SUR,PRIVATE,2680,2807,2929,3220,3420,3554,3527,8853
NORTH CENTER,HIGH SCHOOL,BAJA CALIFORNIA SUR,PUBLIC,25112,27039,26834,27982,29675,30267,31401,31573
NORTH CENTER,HIGH SCHOOL,BAJA CALIFORNIA SUR,PRIVATE,2411,2419,2393,2679,3054,3327,3121,2894
NORTH CENTER,UNIVERSITY,BAJA CALIFORNIA SUR,PUBLIC,11499,12447,13601,14978,15398,16203,19297,20340
NORTH CENTER,UNIVERSITY,BAJA CALIFORNIA SUR,PRIVATE,5463,5188,5085,4828,4957,4781,5587,5244
SOUTH,ELEMENTARY,CAMPECHE,PUBLIC,97953,97126,94707,94190,93401,92405,92384,92924
SOUTH,ELEMENTARY,CAMPECHE,PRIVATE,7877,8299,8337,8089,7885,7960,7510,7558
